n	ops	comparisons	collisions	load_factor	inserts	removes	finds	groups_total	groups_mean	groups_stdev	groups_min	groups_max
4661	4661	7181	2520	0.593531	4661	0	0	4264	1.09311	2691.83	1	2
4662	4662	7185	2523	0.593658	4662	0	0	4265	1.09308	2692.39	1	2
4663	4663	7188	2525	0.593786	4663	0	0	4266	1.09306	2692.94	1	2
4664	4664	7191	2527	0.593913	4664	0	0	4266	1.0933	2693.51	1	2
4665	4665	7194	2529	0.594041	4665	0	0	4267	1.09327	2694.08	1	2
4666	4666	7196	2530	0.594168	4666	0	0	4267	1.09351	2694.94	1	2
4667	4667	7198	2531	0.594295	4667	0	0	4266	1.094	2695.37	1	2
4668	4668	7201	2533	0.594423	4668	0	0	4267	1.09398	2695.93	1	2
4669	4669	7202	2533	0.59455	4669	0	0	4268	1.09396	2696.52	1	2
4670	4670	7204	2534	0.594677	4670	0	0	4269	1.09393	2697.13	1	2
4671	4671	7205	2534	0.594805	4671	0	0	4270	1.09391	2697.68	1	2
4672	4672	7206	2534	0.594932	4672	0	0	4271	1.09389	2698.23	1	2
4673	4673	7208	2535	0.595059	4673	0	0	4272	1.09387	2698.79	1	2
4674	4674	7214	2540	0.595187	4674	0	0	4273	1.09385	2699.35	1	2
4675	4675	7215	2540	0.595314	4675	0	0	4275	1.09357	2700.16	1	2
4676	4676	7219	2543	0.595441	4676	0	0	4275	1.0938	2701.02	1	2
4677	4677	7235	2558	0.595569	4677	0	0	4276	1.09378	2701.63	1	2
4678	4678	7237	2559	0.595696	4678	0	0	4276	1.09401	2702.25	1	2
4679	4679	7239	2560	0.595823	4679	0	0	4276	1.09425	2702.59	1	2
4680	4680	7246	2566	0.595951	4680	0	0	4277	1.09422	2703.16	1	2
4681	4681	7247	2566	0.596078	4681	0	0	4278	1.0942	2703.71	1	2
4682	4682	7249	2567	0.596205	4682	0	0	4279	1.09418	2704.26	1	2
4683	4683	7250	2567	0.596333	4683	0	0	4280	1.09416	2704.83	1	2
4684	4684	7253	2569	0.59646	4684	0	0	4281	1.09414	2705.38	1	2
4685	4685	7254	2569	0.596587	4685	0	0	4282	1.09411	2705.93	1	2
4686	4686	7257	2571	0.596715	4686	0	0	4283	1.09409	2706.53	1	2
4687	4687	7258	2571	0.596842	4687	0	0	4284	1.09407	2707.13	1	2
4688	4688	7260	2572	0.596969	4688	0	0	4285	1.09405	2707.68	1	2
4689	4689	7263	2574	0.597097	4689	0	0	4286	1.09403	2708.23	1	2
4690	4690	7266	2576	0.597224	4690	0	0	4287	1.09401	2708.84	1	2
